SPM,Relation,Target_Protein,Evidence,PMID
LXA4,binds,FPR2,"The LXA4 action was found mainly after 3 h of LPS stimulation, and the AT-LXA4 effect was varied in time, while MR-39's effect was mainly observed after 24 h of stimulation by endotoxin.",34572022
LXA4,binds,FPR2,"Our results showed that LXA4, AT-LXA4, and MR-39 exhibit a protective and pro-resolving potential in LPS-stimulated microglia, even if marked differences were apparent regarding the time dependency and efficacy of inhibiting particular biomarkers.",34572022
LXA4,binds,FPR2,"Our results showed that LXA4, AT-LXA4, and MR-39 exhibit a protective and pro-resolving potential in LPS-stimulated microglia, even if marked differences were apparent regarding the time dependency and efficacy of inhibiting particular biomarkers.",34572022
LXA4,binds,FPR2,"The LXA4 action was found mainly after 3 h of LPS stimulation, and the AT-LXA4 effect was varied in time, while MR-39's effect was mainly observed after 24 h of stimulation by endotoxin.",34572022
LXA4,binds,FPR2,"Among them, lipoxins (LXA4) and aspirin-triggered lipoxin A4 (AT-LXA4) mediate beneficial responses through the activation of N-formyl peptide receptor-2 (FPR2).",34572022
LXA4,binds,FPR2,"FPR2 activity is modulated by a wide range of endogenous ligands, including specialized pro-resolving mediators (SPMs) (e.g., LXA4 and AT-LXA4)",37775304
LXA4,binds,FPR2,"FPR2 activity is modulated by a wide range of endogenous ligands, including specialized pro-resolving mediators (SPMs) (e.g., LXA4 and AT-LXA4)",37775304
LXA4,binds,FPR2,"FPR2 activity is modulated by a wide range of endogenous ligands, including specialized pro-resolving mediators (SPMs) (e.g., LXA4 and AT-LXA4)",37775304
LXA4,upregulates,ALX/FPR2,"LXA4 upregulates the expression of formyl peptide receptor 2 (ALX/FPR2),",40007378
LXA4,binds,Ca2+ mobilization,"LXA4, but not LXB4, induced a concentration-dependent increase in [Ca2+]i in monocytes that was half-maximal at approximately 200 nM.",8757340
LXA4,binds,Ca2+ mobilization,"LXA4 also induced a rise in [Ca2+]i in the monocytic leukemia cell line (time to reach maximum = 15.1 +/- 0.87 s),",8757340
LXA4,binds,Ca2+ mobilization,"LXA4 also induced a rise in [Ca2+]i in the monocytic leukemia cell line (time to reach maximum = 15.1 +/- 0.87 s),",8757340
LXA4,binds,Ca2+ mobilization,"Prior exposure of the cells to EGTA reduced the LXA4-induced increase in [Ca2+]i by approximately 50 to 60%, indicating the contribution of both intracellular mobilization and external influx in LXA4 Ca2+ regulation.",8757340
LXA4,binds,Ca2+ mobilization,"LXA4, but not LXB4, induced a concentration-dependent increase in [Ca2+]i in monocytes that was half-maximal at approximately 200 nM.",8757340
LXA4,downregulates,Nrf2,"RvE1 also increased the levels of nuclear the nuclear factor erythroid 2-related factor 2 (Nrf2), but with no antioxidant effect, measured as an increase in glutathione disulfide (GSSG) and a decrease in the ratio of glutathione (GSH)/GSSG.",33266360
LXA4,upregulates,NF-κB,RvE1 promotes higher nuclear translocation of nuclear factor κB (NF-κB)p65 than DEN.,33266360
LXA4,modulates,NF-κB,RvE1 promotes higher nuclear translocation of nuclear factor κB (NF-κB)p65 than DEN.,33266360
LXA4,binds,ALX/FPR2,The effects of LXA4 were offset by treatment with the ALX/FPR2 antagonist WRW4.,40007378
LXA4,downregulates,phosphorylation of p38 MAPK,"LXA4 was found to upregulate the expression of formyl peptide receptor 2 (ALX/FPR2), while simultaneously downregulating the phosphorylation of p38 MAPK, both in vivo and in vitro.",40007378
LXA4,binds,FPR2,"FPR2 activity is modulated by a wide range of endogenous ligands, including specialized pro-resolving mediators (SPMs) (e.g., LXA4 and AT-LXA4)",37775304
LXA4,modulates,Fpr2/3,"Such LXA4-based circuit could be activated by aspirin (30-100 mg/kg), which triggered formation of 15-epi-LXA4 in wild-type mice, yet it was effective in Fpr2/3(-/-) mice.",23733341
LXA4,modulates,Fpr2/3,"Exogenous delivery of LXA4 attenuated IR-mediated inflammation in Fpr2/3(+/+) but not Fpr2/3(-/-) mice; conversely, an Fpr2/3 antagonist skewed the vascular phenotype of Fpr2/3(+/+) mice to that of Fpr2/3(-/-) animals.",23733341
LXA4,modulates,Fpr2/3,"Here we report that formyl peptide receptor 2 (Fpr2/3) null mice display a major phenotype with exacerbated vascular inflammation observed postischemia reperfusion (IR) injury of the mesenteric artery, characterized by marked neutrophil adhesion and extravasation as visualized by intravital microscopy.",23733341
LXA4,modulates,neutrophil,LXA4 modulates transmigration of human neutrophils across intestinal epithelial monolayers.,8326019
LXA4,downregulates,TNF,"LXA(4), LXB(4), and RvD1, tested at 0.1-1 μM, inhibited LPS-induced TNF production from primary human m.",21653234
LXA4,upregulates,none,"Lipidomic analysis revealed that sEH inhibition augmented levels of LXA4, RvE1, RvE2, and 4-HDoHE, concomitant with up-regulation of LTB4R1, CMKLR1/ChemR23, and ALX/FPR2 SPM receptors.",36508312
LXA4,binds,LXA4 receptor,"Finally, LXA4's beneficial effects were abrogated by BOC-2, an LXA4 receptor inhibitor.",33880053
LXA4,modulates,TRAIL,"High levels of TRAIL, CXCL12, and IL-1β were associated with an increased risk of NMOSD (TRAIL: odds ratio [OR], 1.582; 95% confidence interval [CI], 1.003-2.495; CXCL12: OR, 3.610; 95% CI, 1.011-12.889; IL-1β: OR, 4.500; 95% CI, 1.129-17.927).",39222472
LXA4,modulates,PKA/CREB and NF-κB,LXA4 modulates the PKA/CREB and NF-κB signaling pathway to mitigate chondrocyte catabolism and apoptosis in temporomandibular joint osteoarthritis.,39260675
LXA4,upregulates,SIRT7,Both RvE1 and LXA4 treatment upregulating SIRT7 expression in DPFs,35411569
LXA4,binds,FPR2,The inhibition of METTL3 by LXA4 was found to be dependent on FPR2.,39706534
LXA4,binds,R201 and R205,The electrostatic interaction analysis confirmed the importance of these residues in ALX/FPR2 receptor activation.,40727226
LXA4,binds,R201 and R205,The results showed that LXA4 and fMLFII kept the receptor in an active state by a higher simulation time when compared to RvD3.,40727226
LXA4,binds,R201 and R205,"The results from this study provide new insights into the ALX/FPR2 receptor activation mechanisms, reinforcing the role of critical residues and interactions in the binding of pro-resolution and inflammatory agonists.",40727226
LXA4,binds,R201 and R205,The electrostatic interaction analysis confirmed the importance of these residues in ALX/FPR2 receptor activation.,40727226
LXA4,binds,R201 and R205,The results showed that LXA4 and fMLFII kept the receptor in an active state by a higher simulation time when compared to RvD3.,40727226
LXA4,binds,R201 and R205,"The results from this study provide new insights into the ALX/FPR2 receptor activation mechanisms, reinforcing the role of critical residues and interactions in the binding of pro-resolution and inflammatory agonists.",40727226
LXA4,binds,R201 and R205,The electrostatic interaction analysis confirmed the importance of these residues in ALX/FPR2 receptor activation.,40727226
LXA4,binds,R201 and R205,The results showed that LXA4 and fMLFII kept the receptor in an active state by a higher simulation time when compared to RvD3.,40727226
LXA4,binds,R201 and R205,"The results from this study provide new insights into the ALX/FPR2 receptor activation mechanisms, reinforcing the role of critical residues and interactions in the binding of pro-resolution and inflammatory agonists.",40727226
LXA4,binds,R201 and R205,The electrostatic interaction analysis confirmed the importance of these residues in ALX/FPR2 receptor activation.,40727226
LXA4,binds,R201 and R205,"The results from this study provide new insights into the ALX/FPR2 receptor activation mechanisms, reinforcing the role of critical residues and interactions in the binding of pro-resolution and inflammatory agonists.",40727226
LXA4,modulates,METTL3,"Notably, METTL3 overexpression produced the opposite effects.",39706534
LXA4,binds,FPR2,The inhibition of METTL3 by LXA4 was found to be dependent on FPR2.,39706534
LXA4,modulates,METTL3,"Notably, METTL3 overexpression produced the opposite effects.",39706534
LXA4,binds,FPR2,The inhibition of METTL3 by LXA4 was found to be dependent on FPR2.,39706534
LXA4,binds,R201 and R205,The results showed that LXA4 and fMLFII kept the receptor in an active state by a higher simulation time when compared to RvD3.,40727226
LXA4,binds,FPR2,The inhibition of METTL3 by LXA4 was found to be dependent on FPR2.,39706534
LXA4,modulates,METTL3,"Notably, METTL3 overexpression produced the opposite effects.",39706534
LXA4,binds,FPR2,The inhibition of METTL3 by LXA4 was found to be dependent on FPR2.,39706534
LXA4,modulates,METTL3,"Notably, METTL3 overexpression produced the opposite effects.",39706534
LXA4,upregulates,IL-10,"BML-111 effectively suppressed the expression of pro-inflammatory cytokines TNF-α, IL-1β, and IL-18, as well as inflammasome factors NLRP3 and Caspase-1, while simultaneously up-regulating the expression of the anti-inflammatory cytokine IL-10 induced by CSE.",37229441
LXA4,binds,R201 and R205,The results showed that LXA4 and fMLFII kept the receptor in an active state by a higher simulation time when compared to RvD3.,40727226
LXA4,modulates,neutrophil integrin,"We found the opposite effect in neutrophils from healthy controls, indicating a potential mechanism whereby lipoxins aid the endogenous neutrophil function in health but reduce its excessive activation in disease.",35104001
LXA4,modulates,neutrophil integrin,"We found the opposite effect in neutrophils from healthy controls, indicating a potential mechanism whereby lipoxins aid the endogenous neutrophil function in health but reduce its excessive activation in disease.",35104001
LXA4,downregulates,IKr (channel KV11.1),LXA4 was less potent than RvD1 in modulating IKr (channel KV11.1).,40273690
LXA4,downregulates,IKs (channel KV7.1/KCNE1),LXA4 was less potent than RvD1 in modulating IKs (channel KV7.1/KCNE1).,40273690
LXA4,binds,ALX/FPR2,"LXA4 and BML-111, an agonist of the LXA4 receptor/formyl peptide receptor 2 (ALX/FPR2), suppressed microglial activation;",35203926
LXA4,binds,ALX/FPR2,"LXA4 and BML-111, an agonist of the LXA4 receptor/formyl peptide receptor 2 (ALX/FPR2), suppressed microglial activation;",35203926
LXA4,binds,FPR2,"WKYMVm, a FPR2 ligand, displayed ligand activity for the putative LXA4 receptor FPR2.",38370667
LXA4,modulates,cysteine proteome,15-oxo-LXA4 modulated the redox-sensitive cysteine proteome via G-protein coupled receptor-independent mechanisms.,38370667
LXA4,modulates,NF-κB,15-oxo-LXA4 activated nuclear factor (erythroid related factor 2)-like 2 (Nrf2)-regulated gene expression of anti-inflammatory and repair genes and inhibited nuclear factor (NF)-κB-regulated pro-inflammatory mediator expression.,38370667
LXA4,modulates,Nrf2,15-oxo-LXA4 activated nuclear factor (erythroid related factor 2)-like 2 (Nrf2)-regulated gene expression of anti-inflammatory and repair genes and inhibited nuclear factor (NF)-κB-regulated pro-inflammatory mediator expression.,38370667
LXA4,binds,Ca2+ mobilization,"Prior exposure of the cells to EGTA reduced the LXA4-induced increase in [Ca2+]i by approximately 50 to 60%, indicating the contribution of both intracellular mobilization and external influx in LXA4 Ca2+ regulation.",8757340
LXA4,binds,R201 and R205,Only R201 and R205 were considered key residues in the ALX/FPR2 receptor activation by all agonists. The electrostatic interaction analysis confirmed the importance of these residues in ALX/FPR2 receptor activation.,40727226
LXA4,binds,D106,"Only R201 and R205 were considered key residues in the ALX/FPR2 receptor activation by all agonists. The electrostatic interaction analysis confirmed the importance of these residues in ALX/FPR2 receptor activation. Furthermore, only fMLLII showed interactions with residue D106.",40727226
LXA4,upregulates,pro-resolving mediators,"During resolution, lipoxin A4, resolvin (Rv) D1 and RvD2, protectin D1 (PD1), and maresin 1 (MaR1) were transiently produced while RvD5 was continually generated.",25609430
LXA4,binds,ALX/FPR2,"LXA4 and BML-111, an agonist of the LXA4 receptor/formyl peptide receptor 2 (ALX/FPR2), suppressed microglial activation;",35203926
LXA4,downregulates,eosinophil influx,LXA4/ATL analogues dramatically blocked allergic pleural eosinophil influx.,10679058
LXA4,downregulates,PPARalpha,"LXA4 and ASA-triggered 15-epi-LXA4, in addition to inhibiting macrophage 5-LO activity to a similar extent as PGE2, significantly reduced PPARalpha and CINC-1 levels in hepatocytes.",12368230
LXA4,downregulates,NF-κB pathway,"LXA4 and ASA-triggered 15-epi-LXA4, in addition to inhibiting macrophage 5-LO activity to a similar extent as PGE2, significantly reduced PPARalpha and CINC-1 levels in hepatocytes.",12368230
LXA4,downregulates,NF-κB pathway,"LXA4 and ASA-triggered 15-epi-LXA4, in addition to inhibiting macrophage 5-LO activity to a similar extent as PGE2, significantly reduced PPARalpha and CINC-1 levels in hepatocytes.",12368230
LXA4,upregulates,NF-κB pathway,The protective effects of CGA mediate the NF-κB pathway by upregulating the generation of RvD1.,35975781
LXA4,binds,G protein-coupled receptor,"In human myeloid cells, lipoxin (LX) A4 actions are mediated by interaction with a G protein-coupled receptor.",9151906
LXA4,binds,Notch1,These data suggest that LXA4 may regulate the polarization of microglia after cerebral ischemia-reperfusion injury through the Notch signaling pathway.,33600815
LXA4,binds,Notch1,Blocking the Notch signaling pathway with the inhibitor DAPT significantly mitigated the effect of LXA4 on microglia differentiation.,33600815
LXA4,binds,Notch1,"By contrast, LXA4 upregulated the expression of Hes5, Arg-1 and CD206 all of which are associated with M2 phenotype in microglia.",33600815
LXA4,binds,Notch1,"Furthermore, LXA4 inhibited the expression of Notch-1, Hes1, iNOS and CD32 all of which are associated with the differentiation into M1 microglia.",33600815
LXA4,binds,Notch1,We found that LXA4 exerted protective effects on focal cerebral ischemia-reperfusion injury and reduced the expression of the pro-inflammatory cytokines IL-1β and TNF-α.,33600815
LXA4,binds,Notch1,"In this study, clinical features of acute ischemic stroke were simulated using a rat model of model of middle cerebral artery occlusion (MCAO) in vivo and the BV2 microglia oxygen-glucose deprivation/reoxygenation model (OGD/R) in vitro.",33600815
LXA4,upregulates,HO-1,LXA4 promoted the expression of HO-1 in A. fumigatus-stimulated HCECs compared with the PBS control group.,36601409
LXA4,binds,MTA1,MTA1 enhanced the expression of LXA4 through transcription and blocked the activation of the JAK2/STAT3 signaling pathway.,36434787
LXA4,upregulates,neutrophil infiltration,Topical application of LXA4 analogues and novel aspirin-triggered 15-epi-LXA4 stable analogues to mouse ears markedly inhibited neutrophil infiltration in vivo as assessed by both light microscopy and reduced myeloperoxidase activity in skin biopsies.,9151906
LXA4,upregulates,GTP hydrolysis,"When expressed in Chinese hamster ovary cells, the mouse LXA4R showed specific binding to [3H]LXA4 (K(d) approximately 1.5 nM), and with LXA4 activated GTP hydrolysis.",9151906
LXA4,downregulates,PPARalpha and CINC-1 levels,"LXA4 and ASA-triggered 15-epi-LXA4, in addition to inhibiting macrophage 5-LO activity to a similar extent as PGE2, significantly reduced PPARalpha and CINC-1 levels in hepatocytes.",12368230
LXA4,binds,ALX-R/FPRL-1,"In 1994, Fiore and colleagues used [3H]-LXA4 to identify the cDNA for a human G-protein-coupled, high affinity LXA4 and ATL receptor (ALX-R/FPRL-1), providing the first hints for the molecular basis of lipoxin actions.",16613568
LXA4,binds,ALX-R/FPRL-1,"In 1994, Fiore and colleagues used [3H]-LXA4 to identify the cDNA for a human G-protein-coupled, high affinity LXA4 and ATL receptor (ALX-R/FPRL-1), providing the first hints for the molecular basis of lipoxin actions.",16613568
LXA4,modulates,NF-κB,"The major metabolite coeluted with authentic lipoxin A4 (LXA4) and lipoxin B4 (LXB4) in RP-HPLC system, and possessed a characteristic U.V. spectrum and C-value which were identical to authentic standards.",2547366
LXA4,modulates,NF-κB,No similar products occurred in boiled controls.,2547366
LXA4,modulates,NF-κB,The formation of LXA4 was linear with substrate (LTA4) concentration.,2547366
LXA4,modulates,NF-κB,The absence of LX-like substance following incubation of 15-HPETE with mesangial cells suggested that 5-lipoxygenase activity is not expressed in mesangial cells under these conditions.,2547366
LXA4,modulates,NF-κB,The generation of LXA4 from LTA4 in mesangial cells suggested that there is an active 15- or 12- lipoxygenase activity in the kidney.,2547366
LXA4,modulates,NF-κB,The production of LX may play an important role in the regulation of renal function and the response to inflammatory stimuli.,2547366
LXA4,modulates,NF-κB,"GC/MS analysis on LXA4 further demonstrates that the mesangial cell derived LXA4 was identical to that reported by Serhan et al. (1) as LXA4 [5(S), 6,(R), 15(S)-trihydroxy7,9,13-trans-11-cis-eicosatetraenoic acid].",2547366
LXA4,modulates,NF-κB,"The major metabolite coeluted with authentic lipoxin A4 (LXA4) and lipoxin B4 (LXB4) in RP-HPLC system, and possessed a characteristic U.V. spectrum and C-value which were identical to authentic standards.",2547366
LXA4,binds,ALXR,"ALXR also has the ability to interact with a wide panel of small peptides that give different signaling responses in vitro than LXA4 or its analogs, suggesting that ALXR is capable of serving as a multirecognition receptor in immune responses.",12806051
LXA4,binds,Notch1,"The protective effects of LXA4 on cerebral ischemia-reperfusion injury were determined using TTC staining, HE staining, and TUNEL staining.",33600815
LXA4,binds,Notch1,"Using a rat MIRI model, we evaluated coronary flow, histopathology, cardiac enzymes (cTnI/CK-MB), oxidative stress markers (superoxide dismutase, SOD; malondialdehyde, MDA; glutathione peroxidase, GSH-Px), and protein expression (neurogenic locus notch homolog protein 1 [Notch1], hairy and enhancer of split 1 [Hes1], nuclear factor-erythroid 2-related factor 2 [Nrf2], β-tubulin).",41322439
LXA4,downregulates,PPARalpha and CINC-1 levels,"LXA4 and ASA-triggered 15-epi-LXA4, in addition to inhibiting macrophage 5-LO activity to a similar extent as PGE2, significantly reduced PPARalpha and CINC-1 levels in hepatocytes.",12368230
LXA4,binds,R201 and R205,The electrostatic interaction analysis confirmed the importance of these residues in ALX/FPR2 receptor activation.,40727226
LXA4,binds,TGF-β,"The most notable effect of the 15-LOX modification was the significant reduction in IL-6, IL-10 and IL-17a expression and the accompanying increase in TGF-β and LXA4 levels.",34963632
LXA4,binds,R201 and R205,"The results from this study provide new insights into the ALX/FPR2 receptor activation mechanisms, reinforcing the role of critical residues and interactions in the binding of pro-resolution and inflammatory agonists.",40727226
LXA4,binds,R201 and R205,Only R201 and R205 were considered key residues in the ALX/FPR2 receptor activation by all agonists. The electrostatic interaction analysis confirmed the importance of these residues in ALX/FPR2 receptor activation.,40727226
LXA4,binds,D106,"Only R201 and R205 were considered key residues in the ALX/FPR2 receptor activation by all agonists. The electrostatic interaction analysis confirmed the importance of these residues in ALX/FPR2 receptor activation. Furthermore, only fMLLII showed interactions with residue D106.",40727226
LXA4,upregulates,lipoxin A4 (LXA4),"During resolution, lipoxin A4, resolvin (Rv) D1 and RvD2, protectin D1 (PD1), and maresin 1 (MaR1) were transiently produced while RvD5 was continually generated.",25609430
LXA4,binds,ALXR,ALXR and development of metabolically stable LX and ATL analogs that are mimetics rapidly advanced our appreciation of the mechanism of LX actions and the potential utility of these counter-regulatory biocircuits in the quest to control local inflammatory events.,12806051
LXA4,modulates,NF-κB,The formation of LXA4 was linear with substrate (LTA4) concentration. No similar products occurred in boiled controls.,2547366
LXA4,binds,ALXR,"Among eicosanoids, ALXR is stereoselective for LXA4 (5S,6R,15S-trihydroxy-7,9,13- trans-11-cis-eicosatetraenoic acid).",12806051
LXA4,binds,ALXR,"LXA4 and 15-epi-LXA4 (a member of the ATL series) display leukocyte-selective actions that enable them to serve as endogenous ""stop signals"" in multicellular events in that they modulate adherence, transmigration, and chemotaxis. Both LXA4 and 15-epi-LXA elicit these responses via a G protein-coupled receptor (GPCR), termed ALXR, identified in human and murine tissues.",12806051
LXA4,binds,ALXR,ALXR and development of metabolically stable LX and ATL analogs that are mimetics rapidly advanced our appreciation of the mechanism of LX actions and the potential utility of these counter-regulatory biocircuits in the quest to control local inflammatory events.,12806051
LXA4,binds,ALXR,"ALXR also has the ability to interact with a wide panel of small peptides that give different signaling responses in vitro than LXA4 or its analogs, suggesting that ALXR is capable of serving as a multirecognition receptor in immune responses.",12806051
LXA4,binds,ALXR,"Among eicosanoids, ALXR is stereoselective for LXA4 (5S,6R,15S-trihydroxy-7,9,13- trans-11-cis-eicosatetraenoic acid).",12806051
LXA4,binds,ALXR,"LXA4 and 15-epi-LXA4 (a member of the ATL series) display leukocyte-selective actions that enable them to serve as endogenous ""stop signals"" in multicellular events in that they modulate adherence, transmigration, and chemotaxis. Both LXA4 and 15-epi-LXA elicit these responses via a G protein-coupled receptor (GPCR), termed ALXR, identified in human and murine tissues.",12806051
LXA4,downregulates,PPARalpha and CINC-1 levels,"LXA4 and ASA-triggered 15-epi-LXA4, in addition to inhibiting macrophage 5-LO activity to a similar extent as PGE2, significantly reduced PPARalpha and CINC-1 levels in hepatocytes.",12368230
LXA4,downregulates,PPARalpha and CINC-1 levels,"LXA4 and ASA-triggered 15-epi-LXA4, in addition to inhibiting macrophage 5-LO activity to a similar extent as PGE2, significantly reduced PPARalpha and CINC-1 levels in hepatocytes.",12368230
LXA4,downregulates,PPARalpha and CINC-1 levels,"LXA4 and ASA-triggered 15-epi-LXA4, in addition to inhibiting macrophage 5-LO activity to a similar extent as PGE2, significantly reduced PPARalpha and CINC-1 levels in hepatocytes.",12368230
LXA4,upregulates,HO-1,LXA4 upregulated the expression of HO-1 in a dose-dependent manner.,36209683
LXA4,upregulates,HO-1,"LXA4 can activate the PI3K/Akt and PKC pathways and induce the phosphorylation of Nrf2, resulting in the upregulation of HO-1.",36209683
LXA4,modulates,Nrf2,"LXA4 can activate the PI3K/Akt and PKC pathways and induce the phosphorylation of Nrf2, resulting in the upregulation of HO-1.",36209683
LXA4,upregulates,none,"The concentrations of RvD2, RvD3, RvD5, LXA4, LXB4, Mar-1 and PDX in ECRSwNP group were significantly higher than that in controls.",34666468
LXA4,binds,leukotriene D4 (LTD4) receptor,"However, the leukotriene D4 (LTD4) receptor antagonist LY-171883 reduced the LxA4 response, indicating that LTD4 and LxA4 may share the same receptor.",3186729
LXA4,binds,GPR37,PDX was shown to bind GPR37 and induce calcium responses in peritoneal macrophages.,41542772
LXA4,downregulates,chemotaxis and function of several inflammatory cells,"PGE2, 15d-PGJ2, and LXs reduced lung inflammation and remodeling, and inhibited chemotaxis and function of several inflammatory cells involved in asthma pathogenesis, such as eosinophils.",33362766
LXA4,upregulates,HO-1,"LXA4 can activate the PI3K/Akt and PKC pathways and induce the phosphorylation of Nrf2, resulting in the upregulation of HO-1.",36209683
LXA4,modulates,Nrf2,"LXA4 can activate the PI3K/Akt and PKC pathways and induce the phosphorylation of Nrf2, resulting in the upregulation of HO-1.",36209683
LXA4,upregulates,HO-1,LXA4 can protect cells by inducing HO-1 in human pulmonary microvascular endothelial cells (HPMECs) as in vitro model to explain acute lung injury after severe acute pancreatitis.,36209683
LXA4,modulates,Nrf2,"LXA4 activated the PI3K/Akt and PKC pathways and modulated the phosphorylation and subsequent depolymerization of Nrf2 from Keap1, promoting the translocation of Nrf2 to the nucleus.",36209683
LXA4,binds,Notch1,"Using a rat MIRI model, we evaluated coronary flow, histopathology, cardiac enzymes (cTnI/CK-MB), oxidative stress markers (superoxide dismutase, SOD; malondialdehyde, MDA; glutathione peroxidase, GSH-Px), and protein expression (neurogenic locus notch homolog protein 1 [Notch1], hairy and enhancer of split 1 [Hes1], nuclear factor-erythroid 2-related factor 2 [Nrf2], β-tubulin). Pharmacological inhibitors N-[N-(3,5-difluorophenacetyl)-l-alanyl]-S-phenylglycinet-butylester (DAPT; Notch1) and ML385 (Nrf2) were co-administered with LXA4.",41322439
LXA4,upregulates,antibiotic efficacy,LxA4 increased ciprofloxacin inhibition on biofilm formation but did not affect ciprofloxacin's action on non-adherent bacteria.,33152529
LXA4,upregulates,biofilm formation,LxA4 and RvD2 reduced P. aeruginosa biofilm formation and virulence gene expression.,33152529
LXA4,upregulates,neutrophil infiltration,"The 15(R)-16-phenoxy-17,18, 19,20-tetranor-LXA4 methyl ester (15-epi-16-phenoxy-LXA4), an analogue of aspirin triggered 15-epi-LXA4, and 15(S)-16-phenoxy-17,18,19,20-tetranor-LXA4 methyl ester (16-phenoxy-LXA4) were each as potent as equimolar applications of the anti-inflammatory, dexamethasone.",9151906
LXA4,upregulates,neutrophil infiltration,"The 15(R)-16-phenoxy-17,18, 19,20-tetranor-LXA4 methyl ester (15-epi-16-phenoxy-LXA4), an analogue of aspirin triggered 15-epi-LXA4, and 15(S)-16-phenoxy-17,18,19,20-tetranor-LXA4 methyl ester (16-phenoxy-LXA4) were each as potent as equimolar applications of the anti-inflammatory, dexamethasone.",9151906
LXA4,upregulates,neutrophil infiltration,These findings provide direct in vivo evidence for an anti-inflammatory action for both aspirin-triggered LXA4 and LXA4 stable analogues and their site of action in vivo.,9151906
LXA4,binds,Ca2+ mobilization,"LXA4 also induced a rise in [Ca2+]i in the monocytic leukemia cell line (time to reach maximum = 15.1 +/- 0.87 s),",8757340
LXA4,binds,Ca2+ mobilization,"Prior exposure of the cells to EGTA reduced the LXA4-induced increase in [Ca2+]i by approximately 50 to 60%, indicating the contribution of both intracellular mobilization and external influx in LXA4 Ca2+ regulation.",8757340
LXA4,binds,Ca2+ mobilization,"LXA4, but not LXB4, induced a concentration-dependent increase in [Ca2+]i in monocytes that was half-maximal at approximately 200 nM.",8757340
LXA4,binds,Ca2+ mobilization,"LXA4 also induced a rise in [Ca2+]i in the monocytic leukemia cell line (time to reach maximum = 15.1 +/- 0.87 s),",8757340
LXA4,binds,Ca2+ mobilization,"LXA4 also induced a rise in [Ca2+]i in the monocytic leukemia cell line (time to reach maximum = 15.1 +/- 0.87 s),",8757340
LXA4,modulates,STAT3,"Treatment with LXB4 suppressed TRPV4-induced gliosis in vitro by downregulating IL6 and inhibiting STAT3 activation, and in vivo by reducing the expression of Stat3, Il6, and TNF-α during OHT while attenuating TRPV4 upregulation in Müller glia.",41000836
